Nquest;Indicaçãodedataehora;@1.ParacomeçarselecioneemqualcategoriadeusuáriodoSistemadeBiblio;@2.Informequaloseusexo;@3.Casosejaalunoaselecioneacategoriadeensinodoseucurso;@4.Selecioneemqualáreadoconhecimentooseucursoestáinserido;@5.Selecioneasbibliotecasquevocêfrequenta;@6.Possuialgumtipodedeficiência;@7.Sesimselecionequaléasuadeficiência;@8.QualisdosserviçoseourecursosoferecidospelaBibliotecaUniversit;@9.Emquaisdosseguintescanaisvocêidentificaadivulgaçãodosserviços;@10.VocêjáacessouapáginadabibliotecanaInternet;@11.Vocêtemrecebidoasnotificaçõesemitidasautomaticamentepelosist;@12.Qualoseugraudesatisfaçãoemrelaçãoaocatálogoonline;@13.QualoseugraudesatisfaçãoemrelaçãoaoPortaldePeriódicosdaCAPES;@14.QualoseugraudesatisfaçãoemrelaçãoàBibliotecaDigitaldeTeseseD;@15.QualoseugraudesatisfaçãoemrelaçãoaoRepositórioInstitucionalR;@16.Osserviçoseourecursosdepesquisadisponibilizadospelapáginadab;@17.Deixeaquiseucomentáriocríticaeousugestãosobreosserviçoserecu;@18.Ohoráriodefuncionamentonasbibliotecasquevocêfrequentatematen;@19.Qualoseugraudesatisfaçãocomacordialidadeeouempatiaporpartedo;@20.Vocêjánecessitoudoauxíliodosservidoresdobalcãodeempréstimoda;@21.Sesimqualoseugraudesatisfaçãoquantoaesseatendimento;@22.Vocêjáfoiatendidoporalgumabibliotecárioanasbibliotecasquevoc;@23.Sesimqualoseugraudesatisfaçãoquantoaesseatendimento;@24.Vocêjánecessitouseratendidopeloserviçodecomutaçãobibliográfi;@25.Sesimqualoseugraudesatisfaçãoquantoaesseatendimento;@26.Qualoseugraudesatisfaçãoquantoàeficiêncianaemissãodedeclaraç;@27.Deixeaquiseucomentáriocríticaeousugestãosobreoatendimentonas;@28.Vocêjárecorreuàorientaçãonanormalizaçãodetrabalhosacadêmicos;@29.Sesimqualoseugraudesatisfaçãoquantoaessaorientação;@30.Vocêjáacessoualgumdosrecursoseouferramentasdeauxílioànormali;@31.Sesimqualoseugraudesatisfaçãoquantoaessesrecursos;@32.Naelaboraçãodetrabalhosacadêmicoscomovocêcostumafazeroseulev;@33.Vocêjásolicitouelaboraçãodefichacatalográficaemalgumadasbibl;@34.Sesimqualoseugraudesatisfaçãoquantoàeficiêncianaelaboraçãoen;@35.Deixeaquiseucomentáriocríticaeousugestãosobreosserviçoserecu;@36.VocêjáparticipoudealgumdostreinamentosoferecidospeloSistemad;@37.Sesimqualoseugraudesatisfaçãoquantoaessetreinamento;@38.Vocêjáfezusodealgumdostutoriaisdisponibilizadosnositedabibli;@39.Sesimqualoseugraudesatisfaçãoquantoaessestutorialis;@40.Deixeaquiseucomentáriocríticaeousugestãosobreasatividadesdee;@41.Abibliografiadasdisciplinasdoseucursoestádisponívelnasbiblio;@42.Aquantidademáximadematerialbibliográficoemprestadoporusuário;@43.Aquantidademáximadediasdeempréstimoéde25diasparaalunospesqui;@44.Vocêjáacessoualgumdoscanaiseouferramentasdedivulgaçãodenovas;@45.Oacervodelivroseletrônicosebookscontemplaademandadoseucurso;@46.Deixeaquiseucomentáriocríticaeousugestãosobreacomposiçãodoac;@47.Nasuaopiniãoaclimatizaçãonasbibliotecasquevocêfrequentasãosa;@48.Nasuaopiniãoaluminosidadenasbibliotecasquevocêfrequentasãosa;@49.Nasuaopiniãoaquantidadedemobíliamesascadeirasetc.existentena;@50.Comovocêconsideraaquantidadedecomputadoresdisponibilizadospa;@51.QualoseugraudesatisfaçãocomaqualidadedaredeWiFiinternetsemfi;@52.Deixeaquiseucomentáriocríticaeousugestãosobreainfraestrutura;@53.Ascondiçõesdeacessibilidadenoentornodasbibliotecasquevocêfre;@54.Ascondiçõesdeacessibilidadenoprédiodasbibliotecasquevocêfreq;@55.Nasuaopiniãoosservidoresresponsáveispeloatendimentonasbiblio;@56.VocêconheceoserviçoBUemLibrasdisponívelnapáginadaBibliotecaU;@57.SesimqualoseugraudesatisfaçãoquantoaoserviçoBUemLibras;@58.Oserviçodelevantamentobibliográficoparapessoascomdeficiência;@59.Oserviçodedigitalizaçãodematerialbibliográficoparapessoascom;@60.Apesquisanocatálogoonlinefeitapormeiodomóduloacessibilidaded;@61.Acomposiçãodoacervoemformatoacessíveltaiscomodisponibilizaçã;@62.Deixeaquiseucomentáriocríticaeousugestãosobreaacessibilidade;@63.NasuaopiniãoestequestionáriocontemploutodasasdimensõesdoSist;@64.Qualoseugraudecompreensãodasquestõesaoresponderestequestioná;@65.Deixeaquiseucomentáriocríticaeousugestãosobreaestruturadeste
145;23-mar-2016;Aluno;Masculino;Graduação – Licenciatura;Pedagogia;Biblioteca de Ciências Humanas (BCH);Não; ;Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares, Internet sem fio (Wi-Fi), Salas de estudo;Banners, Cartazes, Folders, Facebook, Notificações enviadas por e-mail, Site da biblioteca, Portal da UFC;Sim;Não;5;5;5;5;5;Estou muito satisfeito com os serviços oferecidos a comunidade acadêmica e parabenizo a seriedade e compromisso de todos os colaboradores envolvidos nesse ambiente.;Não;5;Sim;5;Sim;5;Não conheço;9;5; ;Não conheço;9;Sim;5;Pesquiso no catálogo online, Pesquiso em outros sites na Internet;Não conheço;9; ;Não;9;Sim;5; ;Sim;Suficiente;Suficiente;Não conheço;Não sei; ;Sim;Sim;Sim;Insuficiente;5; ;Sim;Não;Não; ;9; ; ; ; ; ;Sim;5; 
146;23-mar-2016;Aluno;Feminino;Graduação – Bacharelado;Biblioteconomia;Biblioteca da Faculdade de Economia, Administração, Atuária e Contabilidade (BFEAAC), Biblioteca de Ciências Humanas (BCH);Não; ;Consulta ao catálogo online, Internet sem fio (Wi-Fi), Orientação presencial na normalização de trabalhos acadêmicos, Salas de estudo, Solicitação de declaração de nada consta, Treinamentos de usuários (normalização, bases de dados etc.), Tutoriais (passo a passo de como utilizar os serviços oferecidos);Biblionotícias, Notificações enviadas por e-mail, Portal da UFC;Não;Sim;4;4;3;3;5; ;Sim;4;Sim;4;Não;9;Não;9;4; ;Não;9;Não;9;Pesquiso no catálogo online, Pesquiso em outros sites na Internet, Recorro ao acervo da(s) biblioteca(s) da UFC;Não;9; ;Não conheço;9;Sim;4; ;Parcialmente;Suficiente;Suficiente;Não;Não; ;Parcialmente;Sim;Sim;Insuficiente;3; ;Sim;Sim;Parcialmente;Não;9;Não conheço;Não conheço;Parcialmente;Parcialmente; ;Parcialmente;3; 
147;23-mar-2016;Aluno;Masculino;Pós-Graduação – Mestrado;Comunicação Social (Jornalismo);Biblioteca de Ciências e Tecnologia (BCT), Biblioteca de Ciências Humanas (BCH);Não; ;Atendimento presencial na(s) biblioteca(s), Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares, Internet sem fio (Wi-Fi), Salas de estudo;Facebook, Instagram da UFC, Portal da UFC;Sim;Parcialmente;4;4;4;4;5;O serviço melhoraria se eu fosse lembrado sobre a data de devolução do material, por exemplo, um dia antes.;Sim;4;Sim;5;Sim;5;Não conheço;9;5; ;Não conheço;9;Não conheço;9;Pesquiso no catálogo online, Pesquiso em bibliotecas digitais na Internet, Pesquiso em outros sites na Internet, Recorro ao acervo da(s) biblioteca(s) da UFC;Não conheço;9; ;Sim;5;Não;9; ;Parcialmente;Suficiente;Suficiente;Não;Não sei; ;Sim;Sim;Não;Suficiente;3;"A BCH precisa de mais mesas! 
Há pouco espaço no guarda-objetos. Todos os dias, a inexistência de espaço para guardar material gera filas quilométricas.";Sim;Sim;Sim;Não;9;Não conheço;Não conheço;Não conheço;Não conheço; ;Parcialmente;5;Faltou perguntar sobre o guarda-volumes. Este é um problema sério enfrentado por aqueles que frequentam a BCH. O número de porta-objetos é insuficiente!
148;23-mar-2016;Técnico-Administrativo em Educação;Masculino; ;Ciência da Computação;Biblioteca de Ciências e Tecnologia (BCT), Biblioteca do Curso de Matemática (BCM);Não; ;Consulta ao catálogo online, Empréstimo de exemplares, Internet sem fio (Wi-Fi), Livros eletrônicos (e-books);Página inicial do catálogo online, Portal da UFC;Não;Parcialmente;4;9;4;9;9; ;Sim;5;Não;9;Não sei;9;Não conheço;9;9; ;Não conheço;9;Não conheço;9;Pesquiso no catálogo online;Não conheço;9; ;Não;9;Não conheço;9; ; ;Suficiente;Suficiente;Não conheço;Não sei; ;Sim;Parcialmente;Parcialmente;Insuficiente;3;No bloco central, a noite, há pouca iluminação na estante dos livros da computação (estante da extrema esquerda);Sim;Sim; ;Não;9; ; ; ; ; ;Sim;4; 
149;23-mar-2016;Aluno;Masculino;Graduação – Bacharelado;Biblioteconomia;Biblioteca de Ciências Humanas (BCH);Não; ;Acesso à coleção ABNT online, Acesso ao Guia de Normalização de Trabalhos Acadêmicos, Atendimento presencial na(s) biblioteca(s), Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares, Internet sem fio (Wi-Fi), Mecanismo online para referências (MORE), Salas de estudo, Treinamentos de usuários (normalização, bases de dados etc.);Facebook, Notificações enviadas por e-mail, Página inicial do catálogo online, Site da biblioteca, Portal da UFC;Sim;Sim;4;4;9;9;5;Não consigo receber as notificações via DSI pelo Pergamum, mesmo com os meus dados atualizados e com as áreas do conhecimento e assuntos selecionados.;Sim;1;Sim;1;Sim;5; ;9;9; ;Sim;5;Sim;5;Compareço aos treinamentos ministrados pelo Sistema de Bibliotecas da UFC, Peço orientações a algum(a) bibliotecário(a) da UFC, Pesquiso em outros sites na Internet, Recorro ao acervo da(s) biblioteca(s) da UFC;Não;9; ;Sim;4;Não;9; ;Parcialmente;Suficiente;Suficiente;Não conheço;Não sei; ;Sim;Sim;Não;Insuficiente;3; ;Sim;Sim;Não;Não;9; ; ; ; ; ;Sim;5; 
150;23-mar-2016;Aluno;Masculino;Graduação – Bacharelado;Química;Biblioteca de Ciências e Tecnologia (BCT), Biblioteca do Curso de Física (BCF), Biblioteca do Curso de Matemática (BCM);Não; ;Acesso à coleção ABNT online, Acesso ao Guia de Normalização de Trabalhos Acadêmicos, Atendimento presencial na(s) biblioteca(s), Biblioteca Digital Brasileira de Teses e Dissertações (BDTD), BU em Libras, Catalogação na publicação (ficha catalográfica), Comutação bibliográfica (COMUT), Consulta ao catálogo online, Consulta local ao acervo físico, Digitalização de documentos para pessoas com deficiência, Empréstimo de exemplares, EndNote (Gerenciador de Referências Bibliográficas), Gerador automático de referências APA, Internet sem fio (Wi-Fi), Levantamento bibliográfico automatizado, Levantamento bibliográfico para pessoas com deficiência, Livros eletrônicos (e-books), Mecanismo online para referências (MORE), Orientação presencial na normalização de trabalhos acadêmicos, Portal de Periódicos da CAPES, Repositório Institucional (RI), Salas de estudo, Solicitação de declaração de nada consta, Treinamentos de usuários (normalização, bases de dados etc.), Tutoriais (passo a passo de como utilizar os serviços oferecidos);Banners, Cartazes, Folders, Blog, Twitter, Instagram da UFC, Biblionotícias, Notificações enviadas por e-mail, Página inicial do catálogo online, Site da biblioteca, Portal da UFC;Sim;Sim;4;4;4;4;4;Melhorar o wifi (WUFCNET), pelo amor de DEUS.;Sim;4;Sim;5;Sim;4;Sim;4;4; ;Sim;4;Sim;4;Pesquiso no catálogo online, Recorro ao acervo da(s) biblioteca(s) da UFC;Sim;4; ;Sim;4;Sim;4; ;Sim;Insuficiente;Suficiente;Sim;Sim; ;Sim;Sim;Sim;Suficiente;4; ;Sim;Sim;Sim;Sim;4;Sim;Sim;Sim;Sim; ;Sim;4; 
151;23-mar-2016;Aluno;Masculino;Graduação – Licenciatura;Química;Biblioteca de Ciências e Tecnologia (BCT), Biblioteca do Curso de Física (BCF);Não; ;Empréstimo de exemplares, Internet sem fio (Wi-Fi), Salas de estudo;Cartazes, Notificações enviadas por e-mail, Portal da UFC;Sim;Sim;4;2;3;3;3;Melhorar o sinal da internet, e o ar condicionado.;Sim;4;Sim;4;Sim;4;Não;9;3;Nada a declarar, satisfeito com o atendimento.;Não;9;Não;9;Pesquiso em outros sites na Internet;Não;9;Nada a declarar;Não;9;Não;9;Nada a declarar;Sim;Suficiente;Insuficiente;Não;Não;Nada a declarar.;Não;Sim;Não;Insuficiente;2;Nada a declarar;Sim;Sim;Não;Não;9;Não conheço;Não conheço;Não conheço;Não conheço;Nada a declarar;Sim;4;Nada a declarar
152;23-mar-2016;Aluno;Masculino;Graduação – Bacharelado;Engenharia de Petróleo;Biblioteca da Faculdade de Economia, Administração, Atuária e Contabilidade (BFEAAC), Biblioteca de Ciências e Tecnologia (BCT), Biblioteca do Curso de Física (BCF), Biblioteca do Curso de Matemática (BCM);Não; ;Acesso ao Guia de Normalização de Trabalhos Acadêmicos, Atendimento presencial na(s) biblioteca(s), Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares, Internet sem fio (Wi-Fi), Salas de estudo;Notificações enviadas por e-mail, Página inicial do catálogo online, Site da biblioteca, Portal da UFC;Sim;Sim;5;5;5;4;5; ;Não;2;Sim;5;Sim;5;Não conheço;9;4; ;Não;9;Sim;4;Peço orientações a algum(a) bibliotecário(a) da UFC, Pesquiso no catálogo online, Pesquiso em outros sites na Internet;Não;9; ;Não conheço;9;Sim;9; ;Sim;Suficiente;Suficiente;Não conheço;Não sei; ;Sim;Sim;Sim;Suficiente;2; ;Sim;Sim;Sim;Não;9;Não conheço;Não conheço;Sim;Não conheço; ;Não;4;Melhorar o humor e a educação dos servidores terceirizados, os que guardam volumes, principalmente na biblioteca de central. Na BCF por exemplo, o atendimento é excelente, assim como na biblioteca de faculdade de economia.
153;23-mar-2016;Aluno;Masculino;Graduação – Bacharelado;Engenharia Elétrica;Biblioteca de Ciências e Tecnologia (BCT);Não; ;Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares;Portal da UFC;Sim;Sim;3;9;9;9;3; ;Sim;4;Sim;3;Não sei;9; ;9;9; ;Não;9;Não;9;Pesquiso em outros sites na Internet;Não;9; ;Não;9;Não;9; ;Parcialmente;Suficiente;Insuficiente;Não;Não sei; ;Parcialmente;Parcialmente;Parcialmente;Insuficiente;1; ;Sim;Sim;Parcialmente;Não;9;Não conheço;Não conheço;Não conheço;Não conheço; ;Parcialmente;3; 
154;23-mar-2016;Aluno;Feminino;Graduação – Bacharelado;Ciências Sociais;Biblioteca da Faculdade de Direito (BFD), Biblioteca da Faculdade de Economia, Administração, Atuária e Contabilidade (BFEAAC), Biblioteca das Casas de Cultura Estrangeira (BCCE), Biblioteca de Ciências Humanas (BCH), Biblioteca do Curso de Arquitetura (BCA);Não; ;Acesso ao Guia de Normalização de Trabalhos Acadêmicos, Atendimento presencial na(s) biblioteca(s), Biblioteca Digital Brasileira de Teses e Dissertações (BDTD), Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares, Mecanismo online para referências (MORE), Portal de Periódicos da CAPES, Salas de estudo;Banners, Cartazes, Folders, Facebook, Notificações enviadas por e-mail, Portal da UFC;Sim;Sim;4;4;4;4;4; ;Não;1;Sim;3;Sim;3;Não conheço;9;2; ;Não;9;Sim;3;Pesquiso no catálogo online, Pesquiso em bibliotecas digitais na Internet, Pesquiso em outros sites na Internet, Recorro ao acervo da(s) biblioteca(s) da UFC;Não conheço;9; ;Sim;4;Não;9; ;Parcialmente;Suficiente;Suficiente;Não;Não sei; ;Sim;Sim;Não;Insuficiente;2; ;Não;Não;Não;Não;9;Não conheço;Não conheço;Não conheço;Não conheço; ;Parcialmente;5; 
155;23-mar-2016;Aluno;Masculino;Pós-Graduação – Mestrado;Ciência da Computação;Biblioteca de Ciências e Tecnologia (BCT), Biblioteca do Curso de Física (BCF), Biblioteca do Curso de Matemática (BCM);Não; ;Atendimento presencial na(s) biblioteca(s), Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares;Cartazes, Página inicial do catálogo online, Site da biblioteca, Portal da UFC;Sim;Sim;5;9;9;9;5; ;Sim;5;Sim;4;Sim;5; ;9;5; ;Não;9;Não;9;Pesquiso em outros sites na Internet;Não;9; ;Não;9;Sim;5; ;Parcialmente;Suficiente;Suficiente;Sim;Não; ;Parcialmente;Sim;Não;Insuficiente;9;As salas de estudo individual não possuem espaço suficiente.;Sim;Sim;Parcialmente;Não;9;Não conheço;Não conheço;Não conheço;Não conheço; ;Sim;5; 
156;23-mar-2016;Outro;Feminino; ;Não se aplica;Biblioteca de Ciências Humanas (BCH);Não; ;Acesso ao Guia de Normalização de Trabalhos Acadêmicos, Consulta ao catálogo online, Treinamentos de usuários (normalização, bases de dados etc.);Facebook, Site da biblioteca, Portal da UFC;Sim; ;4;5;1;5;5; ;Sim;4;Não;9;Não;9;Não;9;5; ;Não;9;Sim;5;Pesquiso no catálogo online;Não;9; ;Sim;5;Sim;5; ;Sim;Insuficiente;Suficiente;Não;Não sei; ;Sim;Parcialmente;Parcialmente;Insuficiente;4; ;Sim;Sim;Parcialmente;Não;9;Não conheço;Não conheço;Não conheço;Não conheço; ;Sim;5; 
157;23-mar-2016;Aluno;Masculino;Graduação – Bacharelado;Secretariado Executivo;Biblioteca da Faculdade de Economia, Administração, Atuária e Contabilidade (BFEAAC), Biblioteca de Ciências Humanas (BCH);Não; ;Atendimento presencial na(s) biblioteca(s), Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares, Livros eletrônicos (e-books), Salas de estudo, Treinamentos de usuários (normalização, bases de dados etc.), Tutoriais (passo a passo de como utilizar os serviços oferecidos);Facebook, Notificações enviadas por e-mail, Página inicial do catálogo online, Site da biblioteca, Portal da UFC;Sim;Parcialmente;4;4;4;4;4; ;Sim;5;Sim;5;Sim;5;Não conheço;9;9; ;Não;9;Sim;5;Compareço aos treinamentos ministrados pelo Sistema de Bibliotecas da UFC, Pesquiso no catálogo online, Pesquiso em bibliotecas digitais na Internet, Pesquiso em outros sites na Internet, Recorro ao acervo da(s) biblioteca(s) da UFC;Não;9; ;Sim;5;Sim;5; ;Parcialmente;Suficiente;Suficiente;Não conheço;Não;Ampliar o acervo para a área de Secretariado Executivo.;Sim;Sim;Sim;Suficiente;2; ;Sim;Sim;Sim;Não;9; ; ; ; ; ;Sim;5; 
158;23-mar-2016;Aluno;Feminino;Graduação – Bacharelado;Biblioteconomia;Biblioteca das Casas de Cultura Estrangeira (BCCE), Biblioteca de Ciências e Tecnologia (BCT), Biblioteca de Ciências Humanas (BCH), Biblioteca do Curso de Arquitetura (BCA);Não; ;Biblioteca Digital Brasileira de Teses e Dissertações (BDTD), Catalogação na publicação (ficha catalográfica), Consulta ao catálogo online, Consulta local ao acervo físico, EndNote (Gerenciador de Referências Bibliográficas), Internet sem fio (Wi-Fi), Mecanismo online para referências (MORE), Portal de Periódicos da CAPES, Repositório Institucional (RI), Salas de estudo, Treinamentos de usuários (normalização, bases de dados etc.), Tutoriais (passo a passo de como utilizar os serviços oferecidos);Facebook, Portal da UFC;Sim;Sim;3;5;4;5;4; ;Não;3;Não;9;Não;9;Não;9;9; ;Não;9;Sim;5;Pesquiso no catálogo online, Pesquiso em bibliotecas digitais na Internet, Pesquiso em outros sites na Internet, Recorro ao acervo da(s) biblioteca(s) da UFC;Não;9;Mini oficinas no turno noite e em horarioas menores, que permitam a participação de mais estudantes.;Sim;4;Sim;4; ;Parcialmente;Suficiente;Suficiente;Sim;Não sei; ;Parcialmente;Parcialmente;Sim;Insuficiente;4; ;Não;Parcialmente;Parcialmente;Não;9; ; ; ; ; ;Sim;9; 
159;23-mar-2016;Aluno;Masculino;Graduação – Bacharelado;Engenharia Elétrica;Biblioteca de Ciências e Tecnologia (BCT), Biblioteca do Curso de Física (BCF), Biblioteca do Curso de Matemática (BCM);Não; ;Acesso ao Guia de Normalização de Trabalhos Acadêmicos, Atendimento presencial na(s) biblioteca(s), Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares, Salas de estudo, Solicitação de declaração de nada consta;Banners, Cartazes, Notificações enviadas por e-mail, Site da biblioteca, Portal da UFC;Sim;Sim;5;9;9;9;5; ;Não;4;Sim;4;Sim;4;Não conheço;9;4; ;Não;9;Sim;4;Não conheço;Não;9; ;Não;9;Não;9; ;Sim;Suficiente;Suficiente;Não;Não sei; ;Parcialmente;Parcialmente;Sim;Suficiente;4; ;Sim;Sim;Parcialmente;Não;9;Não conheço;Não conheço;Sim;Não conheço; ;Sim;4; 
160;23-mar-2016;Aluno;Masculino;Graduação – Bacharelado;Ciência da Computação;Biblioteca de Ciências e Tecnologia (BCT), Biblioteca do Curso de Matemática (BCM);Não; ;Atendimento presencial na(s) biblioteca(s), Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares, Internet sem fio (Wi-Fi), Salas de estudo;Banners, Portal da UFC;Sim;Parcialmente;4;2;2;2;4; ;Sim;4;Sim;3;Sim;2;Não;9;5; ;Não;9;Não;9; ;Não;9; ;Não;9;Não;9; ;Parcialmente;Suficiente;Insuficiente;Sim;Não; ;Sim;Sim;Sim;Suficiente;1; ;Sim;Sim;Parcialmente;Não;9;Não conheço;Não conheço;Sim;Não conheço; ;Sim;5; 
161;23-mar-2016;Aluno;Feminino;Graduação – Bacharelado;Direito;Biblioteca da Faculdade de Direito (BFD), Biblioteca de Ciências Humanas (BCH);Não; ;Acesso ao Guia de Normalização de Trabalhos Acadêmicos, Atendimento presencial na(s) biblioteca(s), Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares, Internet sem fio (Wi-Fi), Salas de estudo;Facebook, Notificações enviadas por e-mail, Site da biblioteca, Portal da UFC;Sim;Sim;4;4;3;3;4; ;Sim;4;Sim;4;Não;9;Não conheço;9;4; ;Não;9;Sim;4;Compareço aos treinamentos ministrados pelo Sistema de Bibliotecas da UFC, Pesquiso no catálogo online, Pesquiso em bibliotecas digitais na Internet, Pesquiso em outros sites na Internet, Recorro ao acervo da(s) biblioteca(s) da UFC;Não;9; ;Sim;4;Sim;4;Já tive a oportunidade de fazer um curso ofertado pela biblioteca e achei ótimo, principalmente porque o meu curso não oferece a disciplina de Metodologia do Trabalho Científico. Deveria ser ofertado com mais frequência.;Sim;Suficiente;Suficiente;Não;Não sei;A BFD possui um acervo grande, porém a maioria dos livros estão desatualizados. A quantidade de livros mais novos não atende a demanda de alunos.;Sim;Parcialmente;Não;Insuficiente;1;A estrutura deixa um pouco a desejar... Precisa melhorar a iluminação e o wifi, que por sinal nunca consegui conectar. Poderia ter algum tipo de controle no uso dos computadores, pois algumas pessoas se sentem no direito de usar o computador por tempo indeterminado para coisas que não estão relacionadas aos estudos.;Sim;Sim;Sim;Não;9;Não conheço;Não conheço;Sim;Não conheço; ;Sim;5; 
162;24-mar-2016;Aluno;Masculino;Graduação – Bacharelado;Ciência da Computação;Biblioteca de Ciências e Tecnologia (BCT), Biblioteca do Curso de Física (BCF), Biblioteca do Curso de Matemática (BCM);Não; ;Acesso à coleção ABNT online, Atendimento presencial na(s) biblioteca(s), Biblioteca Digital Brasileira de Teses e Dissertações (BDTD), Catalogação na publicação (ficha catalográfica), Consulta ao catálogo online, Empréstimo de exemplares, Internet sem fio (Wi-Fi), Repositório Institucional (RI), Solicitação de declaração de nada consta;Facebook, Portal da UFC;Sim;Parcialmente;4;4;3;2;4; ;Não;5;Sim;4;Sim;5;Não conheço;9;5; ;Não;9;Não;9;Nunca fiz levantamento bibliográfico;Não;9; ;Não;9;Não;9; ;Não;Suficiente;Suficiente;Sim;Não;Melhor distribuição dos livros pelas diversas bibliotecas. Os campus do interior tem, proporcionalmente, muito mais livros.;Parcialmente;Sim;Não;Insuficiente;2; ;Sim;Sim;Sim;Não;9;Não conheço;Não conheço;Não conheço;Não conheço; ;Sim;5; 
163;24-mar-2016;Aluno;Masculino;Graduação – Bacharelado;Biblioteconomia;Biblioteca de Ciências Humanas (BCH);Não; ;Atendimento presencial na(s) biblioteca(s), Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares, Internet sem fio (Wi-Fi), Livros eletrônicos (e-books), Portal de Periódicos da CAPES, Salas de estudo, Treinamentos de usuários (normalização, bases de dados etc.), Tutoriais (passo a passo de como utilizar os serviços oferecidos);Banners, Cartazes, Folders, Facebook, Biblionotícias, Notificações enviadas por e-mail, Página inicial do catálogo online, Site da biblioteca;Sim;Sim;4;5;4;4;4; ;Sim;3;Sim;4;Sim;2;Não;9;3; ;Não;9;Sim;4;Pesquiso no catálogo online, Pesquiso em bibliotecas digitais na Internet, Recorro ao acervo da(s) biblioteca(s) da UFC;Não;9; ;Sim;5;Sim;4; ;Parcialmente;Suficiente;Suficiente;Sim;Não; ;Sim;Sim;Não;Suficiente;3; ;Sim;Sim;Sim;Não;9;Não conheço;Não conheço;Não conheço;Não conheço; ;Sim;5; 
164;24-mar-2016;Professor;Masculino; ;Agronomia;Biblioteca de Ciências e Tecnologia (BCT), Biblioteca de Pós-Graduação em Engenharia (BPGE), Biblioteca do Curso de Física (BCF), Biblioteca do Curso de Matemática (BCM);Não; ;Acesso à coleção ABNT online, Acesso ao Guia de Normalização de Trabalhos Acadêmicos, Atendimento presencial na(s) biblioteca(s), Biblioteca Digital Brasileira de Teses e Dissertações (BDTD), Catalogação na publicação (ficha catalográfica), Comutação bibliográfica (COMUT), Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares, Livros eletrônicos (e-books), Portal de Periódicos da CAPES;Cartazes, Notificações enviadas por e-mail, Página inicial do catálogo online, Site da biblioteca, Portal da UFC;Sim;Não;5;5;4;4;4; ;Sim;5;Sim;5;Sim;5;Não;9;5; ;Sim;5;Não;9;Pesquiso no catálogo online, Pesquiso em bibliotecas digitais na Internet, Pesquiso em outros sites na Internet, Recorro ao acervo da(s) biblioteca(s) da UFC;Sim;5; ;Não;9;Não;9; ;Parcialmente;Suficiente;Suficiente;Sim;Sim; ;Sim;Não;Não;Insuficiente;3; ;Parcialmente;Sim;Sim;Não;9;Não conheço;Não conheço;Não conheço;Não conheço; ;Sim;5; 
165;24-mar-2016;Aluno;Masculino;Graduação – Bacharelado;Direito;Biblioteca da Faculdade de Direito (BFD), Biblioteca da Faculdade de Economia, Administração, Atuária e Contabilidade (BFEAAC), Biblioteca de Ciências Humanas (BCH);Não; ;Consulta local ao acervo físico, Empréstimo de exemplares;Site da biblioteca, Portal da UFC;Sim;Sim;4;3;3;3;3; ;Não;4;Sim;5;Sim;5;Não conheço;9;4; ;Não;9;Não;9;Nunca fiz levantamento bibliográfico;Não;9; ;Sim;3;Não;9; ;Parcialmente;Suficiente;Insuficiente;Não;Não sei; ;Sim;Sim;Sim;Insuficiente;3; ;Parcialmente;Parcialmente;Parcialmente;Não;9; ; ; ; ; ;Sim;4; 
166;24-mar-2016;Aluno;Masculino;Graduação – Bacharelado;Engenharia Civil;Biblioteca de Ciências e Tecnologia (BCT);Não; ;Acesso à coleção ABNT online, Acesso ao Guia de Normalização de Trabalhos Acadêmicos, Atendimento presencial na(s) biblioteca(s), Biblioteca Digital Brasileira de Teses e Dissertações (BDTD), Catalogação na publicação (ficha catalográfica), Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares, Internet sem fio (Wi-Fi), Portal de Periódicos da CAPES, Salas de estudo, Solicitação de declaração de nada consta;Página inicial do catálogo online, Site da biblioteca;Sim;Sim;5;5;5;5;5; ;Sim;5;Sim;5;Sim;5;Não conheço;9;5; ;Não;9;Não;9;Pesquiso em outros sites na Internet;Sim;5; ;Não;9;Não;9; ;Sim;Suficiente;Insuficiente;Sim;Não sei; ;Parcialmente;Sim;Parcialmente;Suficiente;2; ;Parcialmente;Parcialmente;Parcialmente;Não;9;Não conheço;Não conheço;Não conheço;Não conheço; ;Sim;5; 
